monitor_id,lon,lat,mid,dirtag
10012,113.7874056,22.80537222,1,0
10022,113.7839028,22.803275,2,0
10042,113.703275,22.82393889,3,0
10052,113.6948194,22.82608889,4,0
10091,113.7019139,22.98360278,5,1
10092,113.7019139,22.98360278,6,2
10102,113.6765167,23.01296111,7,0
10112,113.6452694,23.04962778,8,0
10122,113.6386083,23.03718056,9,0
10132,113.5917583,23.07882778,10,0
10142,113.6345556,22.80434722,11,0
10171,113.8219056,22.84063889,12,1
10172,113.8219056,22.84063889,13,2
10201,113.8359194,23.00274167,14,0
10222,113.9831361,22.91803889,15,0
10231,114.0572972,22.96858333,16,1
10232,114.0572972,22.96858333,17,2
10241,114.0583056,22.95388611,18,1
10242,114.0583056,22.95388611,19,2
10252,113.8058528,23.08171389,20,0
10271,114.0418194,22.77962222,21,0
10282,113.983025,22.8675166,22,0
10292,113.8700583,22.95494444,23,0
10301,114.0627583,22.76366944,24,1
10302,114.0627583,22.76366944,25,2
10311,114.0480528,22.81126389,26,1
10312,114.0480528,22.81126389,27,2
10322,114.200544,22.7251194,28,0
10332,114.1444194,22.71529722,29,0
10342,114.1597361,22.68542778,30,0
10351,113.8228056,22.80243889,31,0
10361,114.0308833,22.76635278,32,1
10362,114.0308833,22.76635278,33,2
10381,114.1281167,22.773625,34,1
10382,114.1281167,22.773625,35,2
10391,114.1185111,22.76412778,36,1
10392,114.1185111,22.76412778,37,2
10411,113.8766167,23.1201,38,1
10412,113.8766167,23.1201,39,2
10422,113.885363,23.117803,40,0
10431,113.8630889,22.84496667,41,1
10432,113.8630889,22.84496667,42,2
10701,113.7619222,22.98021111,43,1
10702,113.7619222,22.98021111,44,2
27011,113.805997,23.067094,45,1
27012,113.805997,23.067094,46,2
27021,113.799869,23.105049,47,1
27022,113.799869,23.105049,48,2
27031,113.731686,23.114193,49,1
27032,113.731686,23.114193,50,2
27041,113.697127,23.075072,51,1
27042,113.697127,23.075072,52,2
27051,113.732476,23.000775,53,1
27052,113.732476,23.000775,54,2
27061,113.773985,22.983712,55,1
27062,113.773985,22.983712,56,2
